nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,MALUKU UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,PAPUA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,-,PAPUA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2013,Tahun,4,INDONESIA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,40565,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,92935,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,59515,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,44547,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,28265,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,71799,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,28265,BENGKULU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,71799,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,10100,KEP. BANGKA BELITUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,14140,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,57652,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,460694,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2014,Tahun,326932,JAWA TENGAH
